Species	Median
Faecalibacterium_prausnitzii	944
Phocaeicola_vulgatus	525
Bacteroides_uniformis	366
Alistipes_putredinis	246
Gemmiger_formicilis	195
Alistipes_onderdonkii	185
Parabacteroides_distasonis	171
Ralstonia_insidiosa	140
Anaerobutyricum_hallii	138
Phocaeicola_dorei	136
Alistipes_shahii	133
Anaerostipes_hadrus	131
Escherichia_coli	119
Bacteroides_ovatus	103
Faecalibacillus_intestinalis	91
Barnesiella_intestinihominis	88
Faecalibacterium_duncaniae	86
Ruminococcus_bromii	70
Dorea_longicatena	67
Roseburia_faecis	63
Ruthenibacterium_lactatiformans	56
Blautia_massiliensis	53
Coprococcus_comes	47
Vescimonas_coprocola	47
Akkermansia_muciniphila	44
Romboutsia_ilealis	42
Bacteroides_caccae	37
Parabacteroides_merdae	34
Odoribacter_splanchnicus	33
Simiaoa_sunii	32
Flavonifractor_plautii	30
Alistipes_finegoldii	29
Ruminococcus_torques	29
Oscillibacter_valericigenes	25
Blautia_obeum	21
Alistipes_communis	20
Bacteroides_thetaiotaomicron	20
Bacteroides_fragilis	17
Anaeromassilibacillus_senegalensis	16
Blautia_faecicola	15
Dysosmobacter_welbionis	13
Phascolarctobacterium_faecium	12
Roseburia_inulinivorans	12
Coprococcus_catus	11
Mediterraneibacter_faecis	10
Parasutterella_excrementihominis	8
Faecalibacillus_faecis	7
Haemophilus_parainfluenzae	7
Streptococcus_salivarius	7
Bacteroides_xylanisolvens	6
